iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
LKA,Asia,Sri Lanka,2021-09-06,465949.0,3182.0,4266.857,10320.0,180.0,189.857,21674.762,148.019,198.483,480.06,8.373,8.832,1.07,,,,,,,,,,,,,,,,,,21908847.0,12729601.0,9179246.0,,67890.0,344349.0,101.91,59.21,42.7,,16018.0,,21497306.0,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.782,
SYR,Asia,Syria,2021-09-06,28678.0,135.0,128.429,2044.0,5.0,5.286,1569.187,7.387,7.027,111.842,0.274,0.289,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,18275704.0,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567,
TWN,Asia,Taiwan,2021-09-06,16035.0,16.0,6.286,837.0,0.0,0.429,672.186,0.671,0.263,35.087,0.0,0.018,0.93,,,,,,,,,,,,,,,,,,11456359.0,10468680.0,987679.0,,75391.0,75377.0,48.02,43.88,4.14,,3160.0,,23855008.0,,42.2,,8.353,,,103.957,,,,,,80.46,,
TJK,Asia,Tajikistan,2021-09-06,17384.0,71.0,23.857,125.0,0.0,0.0,1783.043,7.282,2.447,12.821,0.0,0.0,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9749625.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668,
THA,Asia,Thailand,2021-09-06,1294522.0,13988.0,14922.714,13042.0,187.0,234.714,18506.167,199.969,213.331,186.445,2.673,3.355,0.9,,,,,,,,,,,,,,,,,,35912894.0,25234259.0,10074612.0,604023.0,325218.0,591582.0,51.34,36.07,14.4,0.86,8457.0,,69950844.0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,
TLS,Asia,Timor,2021-09-06,17698.0,80.0,169.0,82.0,2.0,2.571,13169.38,59.529,125.756,61.018,1.488,1.913,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1343875.0,87.176,18.0,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606,
TUR,Asia,Turkey,2021-09-06,6518986.0,20962.0,21796.857,58377.0,271.0,274.143,76655.412,246.488,256.305,686.443,3.187,3.224,0.1,,,,,,,,,,,,,,,,,,97981595.0,49946816.0,38628745.0,9406034.0,868298.0,666180.0,115.21,58.73,45.42,11.06,7833.0,,85042736.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82,
ARE,Asia,United Arab Emirates,2021-09-06,724240.0,977.0,980.857,2048.0,2.0,1.286,72488.638,97.787,98.173,204.983,0.2,0.129,0.95,,,,,,,,,,,,,,,,,,18439345.0,8772634.0,7664928.0,,,49169.0,184.56,87.8,76.72,,4921.0,,9991083.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,
UZB,Asia,Uzbekistan,2021-09-06,160511.0,640.0,696.0,1120.0,8.0,6.429,4729.848,18.859,20.509,33.004,0.236,0.189,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,
VNM,Asia,Vietnam,2021-09-06,536788.0,12481.0,12471.286,13385.0,311.0,331.571,5468.009,127.138,127.039,136.347,3.168,3.378,1.09,,,,,,,,,,,,,,,,,,22012123.0,18673340.0,3338783.0,,566942.0,328795.0,22.42,19.02,3.4,,3349.0,72.69,98168829.0,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.847,2.6,75.4,0.704,
YEM,Asia,Yemen,2021-09-06,8142.0,34.0,44.714,1530.0,7.0,8.714,267.033,1.115,1.466,50.179,0.23,0.286,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30490639.0,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47,
