iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
COM,Africa,Comoros,2021-09-06,4086.0,0.0,3.0,147.0,0.0,0.0,4598.99,0.0,3.377,165.456,0.0,0.0,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888456.0,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,
COG,Africa,Congo,2021-09-06,13588.0,0.0,0.0,183.0,0.0,0.0,2401.973,0.0,0.0,32.349,0.0,0.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5657017.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
CRI,North America,Costa Rica,2021-09-06,478144.0,5829.0,2428.429,5642.0,74.0,21.429,93041.267,1134.256,472.544,1097.868,14.4,4.17,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5139053.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CIV,Africa,Cote d'Ivoire,2021-09-06,57056.0,201.0,219.714,477.0,10.0,5.857,2108.996,7.43,8.121,17.632,0.37,0.217,1.15,,,,,,,,,,,,,,,,,,1443607.0,1443607.0,,,9434.0,16589.0,5.34,5.34,,,613.0,,27053629.0,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,
HRV,Europe,Croatia,2021-09-06,378022.0,184.0,670.286,8375.0,5.0,6.286,92614.838,45.08,164.219,2051.863,1.225,1.54,1.3,,,,,,,,,,,,,,,,,,3302352.0,1744048.0,1633388.0,,5096.0,5357.0,80.91,42.73,40.02,,1312.0,,4081657.0,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,
CUB,North America,Cuba,2021-09-06,696904.0,7230.0,7198.714,5788.0,85.0,81.286,61577.568,638.834,636.069,511.42,7.51,7.182,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11317498.0,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,
CUW,North America,Curacao,2021-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183592.0,96529.0,87063.0,,,191.0,111.41,58.57,52.83,,1159.0,,164796.0,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,
CYP,Europe,Cyprus,2021-09-06,115269.0,223.0,240.143,516.0,1.0,2.143,129806.702,251.125,270.43,581.078,1.126,2.413,0.84,,,,,,,,,,,,,,,,,,1110044.0,581422.0,528622.0,,,2235.0,125.0,65.48,59.53,,2517.0,,888005.0,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,
CZE,Europe,Czechia,2021-09-06,1680697.0,138.0,250.429,30406.0,0.0,0.571,156714.877,12.868,23.351,2835.176,0.0,0.053,1.21,,,,,,,,,,,,,,,,,,11566058.0,5979639.0,5794848.0,,16622.0,15552.0,107.85,55.76,54.03,,1450.0,,10724553.0,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,
COD,Africa,Democratic Republic of Congo,2021-09-06,55307.0,0.0,63.429,1061.0,0.0,0.286,598.703,0.0,0.687,11.485,0.0,0.003,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92377986.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,
DNK,Europe,Denmark,2021-09-06,350813.0,466.0,661.429,2594.0,2.0,1.714,60346.598,80.161,113.778,446.218,0.344,0.295,0.81,,,,,,,,,,,,,,,,,,8638495.0,4422894.0,4262021.0,,10541.0,12165.0,148.6,76.08,73.31,,2093.0,29.63,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,
