iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
MAR,Africa,Morocco,2021-09-06,886008.0,1923.0,4279.857,13145.0,72.0,86.429,23725.078,51.493,114.604,351.99,1.928,2.314,0.8,,,,,,,,,,,,,,,,,,35522072.0,19529591.0,15992481.0,,833257.0,308107.0,95.12,52.3,42.82,,8250.0,,37344787.0,80.08,29.6,6.769,4.209,7485.013,1.0,419.146,7.14,0.8,47.1,,1.1,76.68,0.686,
MOZ,Africa,Mozambique,2021-09-06,148054.0,131.0,285.857,1881.0,3.0,4.0,4603.233,4.073,8.888,58.483,0.093,0.124,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32163045.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
NAM,Africa,Namibia,2021-09-06,125659.0,49.0,108.429,3412.0,0.0,5.714,48566.793,18.938,41.907,1318.727,0.0,2.209,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2587344.0,3.078,22.0,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,
NER,Africa,Niger,2021-09-06,5888.0,6.0,6.429,199.0,0.0,0.143,234.294,0.239,0.256,7.919,0.0,0.006,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,25130810.0,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,
NGA,Africa,Nigeria,2021-09-06,195890.0,379.0,583.571,2556.0,4.0,14.429,926.629,1.793,2.76,12.091,0.019,0.068,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63,211400704.0,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69,0.539,
RWA,Africa,Rwanda,2021-09-06,90145.0,377.0,430.571,1134.0,10.0,7.286,6789.808,28.396,32.431,85.414,0.753,0.549,0.84,,,,,,,,,,,,,,,,,,2569906.0,1662759.0,907147.0,,,49453.0,19.36,12.52,6.83,,3725.0,,13276517.0,494.869,20.3,2.974,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.543,
STP,Africa,Sao Tome and Principe,2021-09-06,2692.0,9.0,14.143,37.0,0.0,0.0,12052.076,40.293,63.318,165.649,0.0,0.0,1.28,,,,,,,,,,,,,,,,,,50886.0,38979.0,11907.0,,,690.0,22.78,17.45,5.33,,3089.0,,223364.0,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,,,41.34,2.9,70.39,0.625,
SEN,Africa,Senegal,2021-09-06,73227.0,39.0,67.714,1808.0,5.0,6.857,4258.298,2.268,3.938,105.139,0.291,0.399,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17196308.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,
SYC,Africa,Seychelles,2021-09-06,20230.0,0.0,34.0,103.0,0.0,0.143,204529.37,0.0,343.747,1041.351,0.0,1.444,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98910.0,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.796,
SLE,Africa,Sierra Leone,2021-09-06,6374.0,0.0,1.0,121.0,0.0,0.0,782.918,0.0,0.123,14.862,0.0,0.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.96,8141343.0,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452,
SOM,Africa,Somalia,2021-09-06,17947.0,115.0,78.286,1005.0,3.0,5.143,1097.038,7.03,4.785,61.432,0.183,0.314,1.27,,,,,,,,,,,,,,,,,,310005.0,207256.0,102749.0,,,2707.0,1.89,1.27,0.63,,165.0,,16359500.0,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,,
ZAF,Africa,South Africa,2021-09-06,2824063.0,4118.0,7641.143,83617.0,198.0,255.286,47034.795,68.585,127.263,1392.642,3.298,4.252,0.81,,,,,,,,,,,,,,,,,,,,,,,197726.0,,,,,3293.0,,60041996.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,
SSD,Africa,South Sudan,2021-09-06,11526.0,26.0,14.143,120.0,0.0,0.0,1012.707,2.284,1.243,10.544,0.0,0.0,1.03,,,,,,,,,,,,,,,,,,59865.0,53147.0,6718.0,,,388.0,0.53,0.47,0.06,,34.0,,11381377.0,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85,0.433,
SDN,Africa,Sudan,2021-09-06,37873.0,-13.0,23.571,2837.0,0.0,0.857,843.321,-0.289,0.525,63.172,0.0,0.019,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44909351.0,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,
TZA,Africa,Tanzania,2021-09-06,1367.0,0.0,0.0,50.0,0.0,0.0,22.228,0.0,0.0,0.813,0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61498438.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,
TGO,Africa,Togo,2021-09-06,22625.0,63.0,194.857,197.0,1.0,1.714,2668.596,7.431,22.983,23.236,0.118,0.202,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8478242.0,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515,
TUN,Africa,Tunisia,2021-09-06,675191.0,1144.0,1777.0,23846.0,29.0,59.429,56568.729,95.846,148.88,1997.861,2.43,4.979,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,11935764.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,
UGA,Africa,Uganda,2021-09-06,120662.0,81.0,119.571,3053.0,8.0,6.714,2560.547,1.719,2.537,64.787,0.17,0.142,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47123533.0,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544,
ZMB,Africa,Zambia,2021-09-06,207167.0,53.0,146.0,3617.0,1.0,2.571,10949.25,2.801,7.716,191.167,0.053,0.136,0.71,,,,,,,,,,,,,,,,,,,,,,,3633.0,,,,,192.0,43.52,18920657.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,
ZWE,Africa,Zimbabwe,2021-09-06,125671.0,121.0,155.714,4493.0,11.0,11.0,8326.9,8.017,10.318,297.704,0.729,0.729,0.65,,,,,,,,,,,,,,,,,,,,,,,41445.0,,,,,2746.0,78.7,15092171.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,
